sku_id,prezzo_listino,valuta,valid_from,valid_to,note_prezzo
STRIPPER_1LT,7.85,EUR,,,DA_LISTINO_XLSX
AUTO_AS_25KG,44.5,EUR,,,DA_LISTINO_XLSX
GUAINA_BASE_21KG,129.15,EUR,,,DA_LISTINO_XLSX
BBCORNER_IN_1PZ,7.12,EUR,,,DA_LISTINO_XLSX
BBCORNER_OUT_1PZ,9.58,EUR,,,DA_LISTINO_XLSX
BBTAPE_50M,127.0,EUR,,,DA_LISTINO_XLSX
BBPASS_120X120_1PZ,8.56,EUR,,,DA_LISTINO_XLSX
FONDO_BASE_ESTIVO_3KG,82.5,EUR,,,DA_LISTINO_XLSX
FONDO_BASE_ESTIVO_2_12KG,237.6,EUR,,,DA_LISTINO_XLSX
QUARZO_0_7_1_2_25KG,40.0,EUR,,,DA_LISTINO_XLSX
MS_PRO_SEALER_NORPHEN_FONDO_IGRO_0_5KG,10.87,EUR,,,DA_LISTINO_XLSX
MS_PRO_SEALER_IN_CARTUCCIA_1CART,15.2,EUR,,,DA_LISTINO_XLSX
MS_PRO_SEALER_PRIMER_0_5KG,18.7,EUR,,,DA_LISTINO_XLSX
PRIMER_BOND_SW_ADDITIVO_PLUS_0_2KG,11.37,EUR,,,DA_LISTINO_XLSX
PR_BOND_SW_2KG,42.0,EUR,,,DA_LISTINO_XLSX
PRIMER_BOND_SW_SQ_2KG,57.4,EUR,,,DA_LISTINO_XLSX
PR_SW_3KG,45.0,EUR,,,DA_LISTINO_XLSX
BARRIERA_VAPORE_4_0_PRIMER_KIT_12MQ_0_54KG,24.6,EUR,,,DA_LISTINO_XLSX
BARRIERA_VAPORE_4_0_RASANTE_KIT_12_MQ_18KG,471.6,EUR,,,DA_LISTINO_XLSX
QUARZO_DA_SPOLVERO_0_1_0_5_KIT_12_MQ_50KG,80.0,EUR,,,DA_LISTINO_XLSX
RASANTE_FONDO_10KG,38.5,EUR,,,DA_LISTINO_XLSX
RAS_2K_32_5KG,159.58,EUR,,,DA_LISTINO_XLSX
RAS_BASE_3KG,53.16,EUR,,,DA_LISTINO_XLSX
RAS_BASE_15KG,226.5,EUR,,,DA_LISTINO_XLSX
RAS_BASE_Q_2_73KG,84.74,EUR,,,DA_LISTINO_XLSX
RAS_BASE_Q_14_56KG,259.9,EUR,,,DA_LISTINO_XLSX
STUCCO_EPO_2KG,71.2,EUR,,,DA_LISTINO_XLSX
STUCCO_LAMBDA_23_1KG,471.47,EUR,,,DA_LISTINO_XLSX
QUARZO_0_1_0_3_25KG,40.0,EUR,,,DA_LISTINO_XLSX
QUARZO_0_1_0_5_25KG,40.0,EUR,,,DA_LISTINO_XLSX
QUARZO_0_3_0_9_25KG,40.0,EUR,,,DA_LISTINO_XLSX
QUARZO_0_7_1_2_2_25KG,40.0,EUR,,,DA_LISTINO_XLSX
RETE_DI_VETRO_DA_160_G_MQ_50M,184.0,EUR,,,DA_LISTINO_XLSX
RETE_DI_VETRO_DA_75_G_MQ_100M,252.0,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_COLORABILE_NATURAL_CHROMO_2M2,81.6,EUR,,,DA_LISTINO_XLSX
COLORE_PER_KIT_2_MQ_NATURAL_CHROMO_2M2,22.44,EUR,,,DA_LISTINO_XLSX
FONDO_NATURAL_COLORABILE_10M2,190.12,EUR,,,DA_LISTINO_XLSX
COLORE_PER_FONDO_NATURAL_COLORABILE_10M2,46.2,EUR,,,DA_LISTINO_XLSX
FINITURA_NATURAL_COLORABILE_10M2,44.41,EUR,,,DA_LISTINO_XLSX
COLORE_PER_FINITURA_NATURAL_COLORABILE_10M2,18.49,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_NATURAL_COLORABILE_EFFETTO_ALIZ_2M2,89.68,EUR,,,DA_LISTINO_XLSX
COLORE_PER_KIT_2_MQ_NATURAL_EFFETTO_ALIZ_2M2,25.64,EUR,,,DA_LISTINO_XLSX
FONDO_NATURAL_COLORABILE_2_10M2,190.12,EUR,,,DA_LISTINO_XLSX
COLORE_PER_FONDO_NATURAL_COLORABILE_2_10M2,46.2,EUR,,,DA_LISTINO_XLSX
FINITURA_NATURAL_COLORABILE_2_10M2,44.41,EUR,,,DA_LISTINO_XLSX
COLORE_PER_FINITURA_NATURAL_COLORABILE_2_10M2,18.49,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_COLORATO_NATURAL_CHROMO_2M2,84.12,EUR,,,DA_LISTINO_XLSX
FONDO_NATURAL_10_MQ_COLORATO_10M2,242.11,EUR,,,DA_LISTINO_XLSX
FINITURA_NATURAL_10_MQ_COLORATO_10M2,58.7,EUR,,,DA_LISTINO_XLSX
PERSONALIZZAZIONE_COLORE_NATURAL_CHROMO_,100.0,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_NATURAL_COLORATO_EFFETTO_ALIZEE_2M2,96.12,EUR,,,DA_LISTINO_XLSX
FONDO_NATURAL_10_MQ_COLORATO_2_10M2,242.11,EUR,,,DA_LISTINO_XLSX
FINITURA_NATURAL_10_MQ_COLORATO_2_10M2,58.7,EUR,,,DA_LISTINO_XLSX
FINITURA_NATURAL_10_MQ_COLORATO_3_10M2,58.7,EUR,,,DA_LISTINO_XLSX
PERSONALIZZAZIONE_NATURAL_COLORE_ALIZEE_,200.0,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_SENSE_COLORABILE_CON_POLVERI_2M2,107.22,EUR,,,DA_LISTINO_XLSX
COLORE_SENSE_PER_KIT_2_MQ_2M2,21.1,EUR,,,DA_LISTINO_XLSX
FONDO_SENSE_COLORABILE_10M2,156.0,EUR,,,DA_LISTINO_XLSX
COLORE_SENSE_PER_FONDO_COLORABILE_10M2,18.87,EUR,,,DA_LISTINO_XLSX
FINITURA_SENSE_COLORABILE_10M2,189.0,EUR,,,DA_LISTINO_XLSX
COLORE_SENSE_PER_FINITURA_COLORABILE_10M2,22.74,EUR,,,DA_LISTINO_XLSX
KIT_2_MQ_DEKORA_COLORABILE_CON_POLVERI_2M2,68.0,EUR,,,DA_LISTINO_XLSX
COLORE_DEKORA_PER_KIT_2_MQ_2M2,21.1,EUR,,,DA_LISTINO_XLSX
FONDO_DEKORA_COLORABILE_10M2,89.3,EUR,,,DA_LISTINO_XLSX
COLORE_DEKORA_PER_FONDO_COLORABILE_10M2,29.88,EUR,,,DA_LISTINO_XLSX
FINITURA_DEKORA_COLORABILE_10M2,65.5,EUR,,,DA_LISTINO_XLSX
COLORE_DEKORA_PER_FINITURA_COLORABILE_10M2,32.84,EUR,,,DA_LISTINO_XLSX
KIT_LAMINE_2_MQ_2M2,79.41,EUR,,,DA_LISTINO_XLSX
LAMINE_FONDO_10_MQ_10M2,109.0,EUR,,,DA_LISTINO_XLSX
LAMINE_10_MQ_10M2,193.8,EUR,,,DA_LISTINO_XLSX
KIT_1_MQ_COLORATO_CORLITE_CHROMO_1M2,73.66,EUR,,,DA_LISTINO_XLSX
KIT_4_MQ_COLORATO_CORLITE_CHROMO_4M2,174.64,EUR,,,DA_LISTINO_XLSX
KIT_1_MQ_COLORATO_CORLITE_EVIDENCE_BICOL_1M2,81.86,EUR,,,DA_LISTINO_XLSX
KIT_4_MQ_COLORATO_CORLITE_EVIDENCE_BICOL_4M2,194.04,EUR,,,DA_LISTINO_XLSX
KIT_MATERIAL_2_MQ_5KG_2M2,57.5,EUR,,,DA_LISTINO_XLSX
KIT_MATERIAL_10_MQ_20_KG_10M2,175.0,EUR,,,DA_LISTINO_XLSX
NORDCOLOR_ART_NCS_RAL_1KG_1KG,21.8,EUR,,,DA_LISTINO_XLSX
DEKOR_ART_W_1_KG_1KG,78.71,EUR,,,DA_LISTINO_XLSX
CRYSTEPO_3_7_25KG,261.15,EUR,,,DA_LISTINO_XLSX
CRYSTEPO_50_4_4KG,158.49,EUR,,,DA_LISTINO_XLSX
CRYSTEPO_V_6KG,266.64,EUR,,,DA_LISTINO_XLSX
PROTEGGO_FIX_H2O_1LITRO,28.4,EUR,,,DA_LISTINO_XLSX
PROTEGGO_FIX_H2O_2_5LT,106.1,EUR,,,DA_LISTINO_XLSX
PROTEGGO_OPACO_H20_1_1KG,54.29,EUR,,,DA_LISTINO_XLSX
PROTEGGO_OPACO_H20_2_5_5KG,222.31,EUR,,,DA_LISTINO_XLSX
PROTEGGO_LUCIDO_H20_1_35KG,63.2,EUR,,,DA_LISTINO_XLSX
PROTEGGO_LUCIDO_H20_2_4_5KG,230.57,EUR,,,DA_LISTINO_XLSX
PROTEGGO_FIX_S_1_1KG,37.18,EUR,,,DA_LISTINO_XLSX
