sku_id,product_id,descrizione_sku,pack_size,pack_unit,componenti,note_packaging
STRIPPER_1LT,STRIPPER,Stripper,1.0,lt,,DA_LISTINO_XLSX
AUTO_AS_25KG,AUTO_AS,Autolivellante AS,25.0,kg,,DA_LISTINO_XLSX
GUAINA_BASE_21KG,GUAINA_BASE,Guaina base,21.0,kg,,DA_LISTINO_XLSX
BBCORNER_IN_1PZ,BBCORNER_IN,BBCorner IN,1.0,pz,,DA_LISTINO_XLSX
BBCORNER_OUT_1PZ,BBCORNER_OUT,BBCorner Out,1.0,pz,,DA_LISTINO_XLSX
BBTAPE_50M,BBTAPE,BBTape,50.0,m,,DA_LISTINO_XLSX
BBPASS_120X120_1PZ,BBPASS_120X120,BBPass (120x120),1.0,pz,,DA_LISTINO_XLSX
FONDO_BASE_ESTIVO_3KG,FONDO_BASE_ESTIVO,Fondo base estivo,3.0,kg,,DA_LISTINO_XLSX
FONDO_BASE_ESTIVO_2_12KG,FONDO_BASE_ESTIVO_2,Fondo base estivo,12.0,kg,,DA_LISTINO_XLSX
QUARZO_0_7_1_2_25KG,QUARZO_0_7_1_2,"Quarzo 0,7-1,2",25.0,kg,,DA_LISTINO_XLSX
MS_PRO_SEALER_NORPHEN_FONDO_IGRO_0_5KG,MS_PRO_SEALER_NORPHEN_FONDO_IGRO,MS Pro Sealer - Norphen Fondo Igro,0.5,kg,,DA_LISTINO_XLSX
MS_PRO_SEALER_IN_CARTUCCIA_1CART,MS_PRO_SEALER_IN_CARTUCCIA,MS Pro Sealer in cartuccia,1.0,cart,,DA_LISTINO_XLSX
MS_PRO_SEALER_PRIMER_0_5KG,MS_PRO_SEALER_PRIMER,MS Pro sealer Primer,0.5,kg,,DA_LISTINO_XLSX
PRIMER_BOND_SW_ADDITIVO_PLUS_0_2KG,PRIMER_BOND_SW_ADDITIVO_PLUS,Primer Bond Sw - ADDITIVO PLUS,0.2,kg,,DA_LISTINO_XLSX
PR_BOND_SW_2KG,PR_BOND_SW,Primer Bond Sw,2.0,kg,,DA_LISTINO_XLSX
PRIMER_BOND_SW_SQ_2KG,PRIMER_BOND_SW_SQ,Primer Bond Sw SQ,2.0,kg,,DA_LISTINO_XLSX
PR_SW_3KG,PR_SW,Primer Sw,3.0,kg,,DA_LISTINO_XLSX
BARRIERA_VAPORE_4_0_PRIMER_KIT_12MQ_0_54KG,BARRIERA_VAPORE_4_0_PRIMER_KIT_12MQ,Barriera Vapore 4.0 Primer kit 12mq,0.54,kg,,DA_LISTINO_XLSX
BARRIERA_VAPORE_4_0_RASANTE_KIT_12_MQ_18KG,BARRIERA_VAPORE_4_0_RASANTE_KIT_12_MQ,Barriera Vapore 4.0 Rasante kit 12 mq,18.0,kg,,DA_LISTINO_XLSX
QUARZO_DA_SPOLVERO_0_1_0_5_KIT_12_MQ_50KG,QUARZO_DA_SPOLVERO_0_1_0_5_KIT_12_MQ,"Quarzo da spolvero 0,1-0,5 kit 12 mq",50.0,kg,,DA_LISTINO_XLSX
RASANTE_FONDO_10KG,RASANTE_FONDO,Rasante Fondo,10.0,kg,,DA_LISTINO_XLSX
RAS_2K_32_5KG,RAS_2K,Rasante 2k,32.5,kg,,DA_LISTINO_XLSX
RAS_BASE_3KG,RAS_BASE,Rasante base,3.0,kg,,DA_LISTINO_XLSX
RAS_BASE_15KG,RAS_BASE,Rasante base,15.0,kg,,DA_LISTINO_XLSX
RAS_BASE_Q_2_73KG,RAS_BASE_Q,Rasante Base Quarzo,2.73,kg,,DA_LISTINO_XLSX
RAS_BASE_Q_14_56KG,RAS_BASE_Q,Rasante Base Quarzo,14.56,kg,,DA_LISTINO_XLSX
STUCCO_EPO_2KG,STUCCO_EPO,Stucco epossidico,2.0,kg,,DA_LISTINO_XLSX
STUCCO_LAMBDA_23_1KG,STUCCO_LAMBDA,Stucco Lambda,23.1,kg,,DA_LISTINO_XLSX
QUARZO_0_1_0_3_25KG,QUARZO_0_1_0_3,"Quarzo 0,1-0,3",25.0,kg,,DA_LISTINO_XLSX
QUARZO_0_1_0_5_25KG,QUARZO_0_1_0_5,"Quarzo 0,1-0,5",25.0,kg,,DA_LISTINO_XLSX
QUARZO_0_3_0_9_25KG,QUARZO_0_3_0_9,"Quarzo 0,3-0,9",25.0,kg,,DA_LISTINO_XLSX
QUARZO_0_7_1_2_2_25KG,QUARZO_0_7_1_2_2,"Quarzo 0,7-1,2",25.0,kg,,DA_LISTINO_XLSX
