product_id,name,type,unit
PR_SW,Primer SW,Primer,g/m²
PR_BOND_SW,Primer Bond SW,Primer,g/m²
NORPHEN_IGRO,Norphen Fondo Igro,Primer,g/m²
MS_PRO,MS Prosealer,Sigillante,ml/ml
STUCCO_EPO,Stucco epossidico,Riparazione,g/ml
RAS_BASE,Rasante Base,Fondo strutturale,kg/m²
RAS_BASE_Q,Rasante Base Quarzo,Fondo strutturale,kg/m²
RAS_2K,Rasante 2K,Fondo strutturale,kg/m²
RAS_FONDO_FINO,Rasante Fondo Fino,Riempimento,kg/m²/mm
BARR_VAP_4,Barriera Vapore 4.0,Impermeabilizzazione,kg/m²
BARR_VAP_4_PR,Primer Barriera Vapore 4.0,Primer,g/m²
GUAINA_BASE,Guaina Base,Impermeabilizzazione,mani
MAS_EP,Massetto epossidico,Strutturale,kg/m²/cm
FONDO_BASE,Fondo Base,Primer/Legante,g/m²
AUTO_AS,Autolivellante AS,Compensazione quota,kg/m²
RETE_75,Rete 75,Armatura,g/m²
RETE_160,Rete 160,Armatura,g/m²
SPOLVERO_Q,Spolvero quarzo,Carica,kg/m²
BAND_GUAINA,Bandelle perimetrali (Guaina Base),Accessorio,m
ADD_PLUS,Additivo Plus,Additivo,%
BB_CORNER_IN,BBcorner IN (angolo interno),,pz
BB_CORNER_OUT,BBcorner OUT (angolo esterno),,pz
BB_PASS,BBpass (raccordo idraulico standard),,pz
BB_DRAIN,BBdrain (raccordo grande/scarico),,pz
BB_TAPE_50M,BBtape (rotolo 50 ml),,rotolo
MS_PROSEALER,MS Prosealer (cartuccia),,cartuccia
STRIPPER,Stripper,,
BBCORNER_IN,BBCorner IN,,
BBCORNER_OUT,BBCorner Out,,
BBTAPE,BBTape,,
BBPASS_120X120,BBPass (120x120),,
FONDO_BASE_ESTIVO,Fondo base estivo,,
FONDO_BASE_ESTIVO_2,Fondo base estivo,,
QUARZO_0_7_1_2,"Quarzo 0,7-1,2",,
MS_PRO_SEALER_NORPHEN_FONDO_IGRO,MS Pro Sealer - Norphen Fondo Igro,,
MS_PRO_SEALER_IN_CARTUCCIA,MS Pro Sealer in cartuccia,,
MS_PRO_SEALER_PRIMER,MS Pro sealer Primer,,
PRIMER_BOND_SW_ADDITIVO_PLUS,Primer Bond Sw - ADDITIVO PLUS,,
PRIMER_BOND_SW_SQ,Primer Bond Sw SQ,,
BARRIERA_VAPORE_4_0_PRIMER_KIT_12MQ,Barriera Vapore 4.0 Primer kit 12mq,,
BARRIERA_VAPORE_4_0_RASANTE_KIT_12_MQ,Barriera Vapore 4.0 Rasante kit 12 mq,,
QUARZO_DA_SPOLVERO_0_1_0_5_KIT_12_MQ,"Quarzo da spolvero 0,1-0,5 kit 12 mq",,
RASANTE_FONDO,Rasante Fondo,,
STUCCO_LAMBDA,Stucco Lambda,,
QUARZO_0_1_0_3,"Quarzo 0,1-0,3",,
QUARZO_0_1_0_5,"Quarzo 0,1-0,5",,
QUARZO_0_3_0_9,"Quarzo 0,3-0,9",,
QUARZO_0_7_1_2_2,"Quarzo 0,7-1,2",,
RETE_DI_VETRO_DA_160_G_MQ,Rete di vetro da 160 g/mq,,
RETE_DI_VETRO_DA_75_G_MQ,Rete di vetro da 75 g/mq,,
KIT_2_MQ_COLORABILE_NATURAL_CHROMO,KIT 2 mq colorabile Natural CHROMO,,
COLORE_PER_KIT_2_MQ_NATURAL_CHROMO,COLORE per KIT 2 mq NATURAL CHROMO,,
FONDO_NATURAL_COLORABILE,FONDO NATURAL colorabile,,
COLORE_PER_FONDO_NATURAL_COLORABILE,COLORE per FONDO NATURAL colorabile,,
FINITURA_NATURAL_COLORABILE,FINITURA NATURAL  colorabile,,
COLORE_PER_FINITURA_NATURAL_COLORABILE,COLORE per FINITURA NATURAL colorabile,,
KIT_2_MQ_NATURAL_COLORABILE_EFFETTO_ALIZ,KIT 2 mq NATURAL COLORABILE effetto ALIZEE O EVIDENCE,,
COLORE_PER_KIT_2_MQ_NATURAL_EFFETTO_ALIZ,COLORE per KIT 2 mq NATURAL effetto ALIZEE O EVIDENCE,,
FONDO_NATURAL_COLORABILE_2,FONDO NATURAL colorabile,,
COLORE_PER_FONDO_NATURAL_COLORABILE_2,COLORE per FONDO NATURAL colorabile,,
FINITURA_NATURAL_COLORABILE_2,FINITURA NATURAL colorabile,,
COLORE_PER_FINITURA_NATURAL_COLORABILE_2,COLORE per FINITURA NATURAL colorabile,,
KIT_2_MQ_COLORATO_NATURAL_CHROMO,KIT 2 mq COLORATO  NATURAL CHROMO,,
FONDO_NATURAL_10_MQ_COLORATO,FONDO NATURAL 10 mq colorato,,
FINITURA_NATURAL_10_MQ_COLORATO,FINITURA NATURAL 10 mq colorato,,
PERSONALIZZAZIONE_COLORE_NATURAL_CHROMO,PERSONALIZZAZIONE COLORE NATURAL CHROMO,,
KIT_2_MQ_NATURAL_COLORATO_EFFETTO_ALIZEE,KIT 2 mq NATURAL COLORATO effetto ALIZEE O EVIDENCE,,
FONDO_NATURAL_10_MQ_COLORATO_2,FONDO NATURAL 10 mq colorato,,
FINITURA_NATURAL_10_MQ_COLORATO_2,FINITURA NATURAL 10 mq colorato,,
FINITURA_NATURAL_10_MQ_COLORATO_3,FINITURA NATURAL 10 mq colorato,,
PERSONALIZZAZIONE_NATURAL_COLORE_ALIZEE,PERSONALIZZAZIONE NATURAL COLORE ALIZEE EVIDENCE,,
KIT_2_MQ_SENSE_COLORABILE_CON_POLVERI,KIT 2 mq SENSE COLORABILE con polveri,,
COLORE_SENSE_PER_KIT_2_MQ,COLORE SENSE per KIT 2 mq,,
FONDO_SENSE_COLORABILE,FONDO SENSE colorabile,,
COLORE_SENSE_PER_FONDO_COLORABILE,COLORE SENSE per FONDO colorabile,,
FINITURA_SENSE_COLORABILE,FINITURA SENSE colorabile,,
COLORE_SENSE_PER_FINITURA_COLORABILE,COLORE SENSE per FINITURA colorabile,,
KIT_2_MQ_DEKORA_COLORABILE_CON_POLVERI,KIT 2 mq DEKORA COLORABILE con polveri,,
COLORE_DEKORA_PER_KIT_2_MQ,COLORE DEKORA per KIT 2 mq,,
FONDO_DEKORA_COLORABILE,FONDO DEKORA colorabile,,
COLORE_DEKORA_PER_FONDO_COLORABILE,COLORE DEKORA per FONDO colorabile,,
FINITURA_DEKORA_COLORABILE,FINITURA DEKORA colorabile,,
COLORE_DEKORA_PER_FINITURA_COLORABILE,COLORE DEKORA per FINITURA colorabile,,
KIT_LAMINE_2_MQ,KIT LAMINE 2 mq,,
LAMINE_FONDO_10_MQ,LAMINE FONDO 10 mq,,
LAMINE_10_MQ,LAMINE 10 mq,,
KIT_1_MQ_COLORATO_CORLITE_CHROMO,KIT 1 mq colorato CORLITE CHROMO,,
KIT_4_MQ_COLORATO_CORLITE_CHROMO,KIT 4 mq colorato CORLITE CHROMO,,
KIT_1_MQ_COLORATO_CORLITE_EVIDENCE_BICOL,KIT 1 mq colorato CORLITE EVIDENCE (BICOLORE),,
KIT_4_MQ_COLORATO_CORLITE_EVIDENCE_BICOL,KIT 4 mq colorato CORLITE EVIDENCE (BICOLORE),,
KIT_MATERIAL_2_MQ_5KG,KIT MATERIAL 2 mq ( 5kg),,
KIT_MATERIAL_10_MQ_20_KG,KIT MATERIAL 10 mq (20 kg),,
NORDCOLOR_ART_NCS_RAL_1KG,Nordcolor art (NCS-Ral 1kg),,
DEKOR_ART_W_1_KG,Dekor Art W (1 kg),,
CRYSTEPO_3,Crystepo 3,,
CRYSTEPO_50,Crystepo 50,,
CRYSTEPO_V,Crystepo V,,
PROTEGGO_FIX_H2O,PROTEGGO FIX H2O,,
PROTEGGO_FIX_H2O_2,PROTEGGO FIX H2O,,
PROTEGGO_OPACO_H20,PROTEGGO OPACO H20,,
PROTEGGO_OPACO_H20_2,PROTEGGO OPACO H20,,
PROTEGGO_LUCIDO_H20,PROTEGGO LUCIDO H20,,
PROTEGGO_LUCIDO_H20_2,PROTEGGO LUCIDO H20,,
PROTEGGO_FIX_S,PROTEGGO FIX S,,
PROTEGGO_FIX_S_2,PROTEGGO FIX S,,
PROTEGGO_LUCIDO_S,PROTEGGO LUCIDO S,,
PROTEGGO_OPACO_S,PROTEGGO OPACO S,,
PROTEGGO_OPACO_S_2,PROTEGGO OPACO S,,
PROTEGGO_COLOR_OPACO_H20_COLORE_NATURAL,PROTEGGO COLOR OPACO H20 COLORE NATURAL,,
PROTEGGO_COLOR_OPACO_H20_COLORE_NATURAL_2,PROTEGGO COLOR OPACO H20 COLORE NATURAL,,
PREMIX_COLORE_OPACO_S_1_88,"Premix colore per PROTEGGO Opaco S da 1,88 kg",Additivo colore (premix) - voce listino separata,kg
PREMIX_COLORE_OPACO_S_6,Premix colore per PROTEGGO Opaco S da 6 kg,Additivo colore (premix) - voce listino separata,kg
