rule_id,step_order,step_id
F_COMP_AS,10,S_COMP_AS_PRECOAT
F_COMP_AS,20,S_NOTE_CORAZZ_CAR_3640
F_COMP_AS,30,S_PR_SW_150
F_COMP_AS,40,S_RAS_BQ_2_0
F_COMP_AS,50,S_ARM_160
F_COMP_EP,10,S_COMP_MASEP_PRIMER_150
F_COMP_EP,20,S_COMP_MASEP_18
F_COMP_EP,30,S_RAS_BQ_2_2
F_COMP_EP,40,S_ARM_160
F_COT_GT8,10,S_F_DIAMOND_FUGA
F_COT_GT8,20,S_WPRO_BARR_PR_100
F_COT_GT8,30,S_WPRO_BARR_1_5
F_COT_GT8,40,S_ARM_160
F_COT_GT8,50,S_NOTE_CORAZZ_CAR_3640
F_COT_LE8,10,S_F_DIAMOND_FUGA
F_COT_LE8,20,S_PR_SW_250
F_COT_LE8,30,S_RAS_BQ_2_0
F_COT_LE8,40,S_ARM_160
F_MAR,10,S_F_DIAMOND
F_MAR,20,S_RAS_BQ_2_0
F_MAR,30,S_ARM_160
F_PAR_RM,10,S_GATE_SUPPORT_UNDER
F_SLEV_OK,10,S_F_MAS_SAND_3640
F_SLEV_OK,20,S_PR_SW_150
F_SLEV_OK,30,S_RAS_BQ_2_0
F_SLEV_OK,40,S_ARM_160
F_TILE_COLLA,10,S_F_DIAMOND
F_TILE_COLLA,20,S_RAS_BASE_1_5
F_TILE_COLLA,30,S_ARM_160
F_TILE_FUGA,10,S_F_DIAMOND
F_TILE_FUGA,20,S_RAS_BQ_2_0
F_TILE_FUGA,30,S_ARM_160
F_TILE_HOLLOW_A,10,S_GATE_SUPPORT_UNDER
F_TILE_HOLLOW_S,10,S_F_DIAMOND
F_TILE_HOLLOW_S,20,S_COMP_MASEP_PRIMER_150
F_TILE_HOLLOW_S,30,S_COMP_MASEP_18
F_TILE_HOLLOW_S,40,S_F_DIAMOND
F_TILE_HOLLOW_S,50,S_RAS_BQ_2_2
F_TILE_HOLLOW_S,60,S_ARM_160
F_TILE_SABCEM,10,S_F_DIAMOND
F_TILE_SABCEM,20,S_RAS_BQ_2_0
F_TILE_SABCEM,30,S_ARM_160
F_TV,10,S_F_DIAMOND
F_TV,20,S_RAS_BQ_2_0
F_TV,30,S_ARM_160
F_ZMX,10,S_F_DIAMOND
F_ZMX,20,S_RAS_BQ_2_0
F_ZMX,30,S_ARM_160
W_DIN_BASE,10,S_PR_SW_150
W_DIN_BASE,20,S_DIN_BANDELLE
W_DIN_BASE,30,S_DIN_GUAINA_2
W_DIN_BASE,40,S_RAS_BQ_2_0
W_DIN_BASE,50,S_ARM_75
W_DIN_NEW,10,S_DIN_GUAINA_2
W_DIN_NEW,20,S_WAIT_10MIN
W_DIN_NEW,30,S_COMP_MASEP_18
W_DIN_NEW,40,S_RAS_BQ_2_0
W_DIN_NEW,50,S_ARM_160
