palette_id,color_id,label,family,shade,is_active
DEKORA_24,DEKORA_24_CACHEMIRE_M1,CACHEMIRE M1,CACHEMIRE,M1,1
DEKORA_24,DEKORA_24_CACHEMIRE_M2,CACHEMIRE M2,CACHEMIRE,M2,1
DEKORA_24,DEKORA_24_CACHEMIRE_M3,CACHEMIRE M3,CACHEMIRE,M3,1
DEKORA_24,DEKORA_24_CENERE_M1,CENERE M1,CENERE,M1,1
DEKORA_24,DEKORA_24_CENERE_M2,CENERE M2,CENERE,M2,1
DEKORA_24,DEKORA_24_CENERE_M3,CENERE M3,CENERE,M3,1
DEKORA_24,DEKORA_24_CIPRIA_M,CIPRIA M,CIPRIA,M,1
DEKORA_24,DEKORA_24_COTONE_M,COTONE M,COTONE,M,1
DEKORA_24,DEKORA_24_LINO_M1,LINO M1,LINO,M1,1
DEKORA_24,DEKORA_24_LINO_M2,LINO M2,LINO,M2,1
DEKORA_24,DEKORA_24_LINO_M3,LINO M3,LINO,M3,1
DEKORA_24,DEKORA_24_PERLA_M1,PERLA M1,PERLA,M1,1
DEKORA_24,DEKORA_24_PERLA_M2,PERLA M2,PERLA,M2,1
DEKORA_24,DEKORA_24_PERLA_M3,PERLA M3,PERLA,M3,1
DEKORA_24,DEKORA_24_POLVERE_M1,POLVERE M1,POLVERE,M1,1
DEKORA_24,DEKORA_24_POLVERE_M2,POLVERE M2,POLVERE,M2,1
DEKORA_24,DEKORA_24_POLVERE_M3,POLVERE M3,POLVERE,M3,1
DEKORA_24,DEKORA_24_ROSA_M,ROSA M,ROSA,M,1
DEKORA_24,DEKORA_24_SABBIA_M1,SABBIA M1,SABBIA,M1,1
DEKORA_24,DEKORA_24_SABBIA_M2,SABBIA M2,SABBIA,M2,1
DEKORA_24,DEKORA_24_SABBIA_M3,SABBIA M3,SABBIA,M3,1
DEKORA_24,DEKORA_24_SETA_M1,SETA M1,SETA,M1,1
DEKORA_24,DEKORA_24_SETA_M2,SETA M2,SETA,M2,1
DEKORA_24,DEKORA_24_SETA_M3,SETA M3,SETA,M3,1
