palette_id,color_id,label,family,shade,is_active
NATURAL_24,NATURAL_24_CACHEMIRE_N1,CACHEMIRE N1,CACHEMIRE,N1,1
NATURAL_24,NATURAL_24_CACHEMIRE_N2,CACHEMIRE N2,CACHEMIRE,N2,1
NATURAL_24,NATURAL_24_CACHEMIRE_N3,CACHEMIRE N3,CACHEMIRE,N3,1
NATURAL_24,NATURAL_24_CENERE_N1,CENERE N1,CENERE,N1,1
NATURAL_24,NATURAL_24_CENERE_N2,CENERE N2,CENERE,N2,1
NATURAL_24,NATURAL_24_CENERE_N3,CENERE N3,CENERE,N3,1
NATURAL_24,NATURAL_24_CIPRIA_N,CIPRIA N,CIPRIA,N,1
NATURAL_24,NATURAL_24_COTONE_N,COTONE N,COTONE,N,1
NATURAL_24,NATURAL_24_LINO_N1,LINO N1,LINO,N1,1
NATURAL_24,NATURAL_24_LINO_N2,LINO N2,LINO,N2,1
NATURAL_24,NATURAL_24_LINO_N3,LINO N3,LINO,N3,1
NATURAL_24,NATURAL_24_PERLA_N1,PERLA N1,PERLA,N1,1
NATURAL_24,NATURAL_24_PERLA_N2,PERLA N2,PERLA,N2,1
NATURAL_24,NATURAL_24_PERLA_N3,PERLA N3,PERLA,N3,1
NATURAL_24,NATURAL_24_POLVERE_N1,POLVERE N1,POLVERE,N1,1
NATURAL_24,NATURAL_24_POLVERE_N2,POLVERE N2,POLVERE,N2,1
NATURAL_24,NATURAL_24_POLVERE_N3,POLVERE N3,POLVERE,N3,1
NATURAL_24,NATURAL_24_ROSA_N,ROSA N,ROSA,N,1
NATURAL_24,NATURAL_24_SABBIA_N1,SABBIA N1,SABBIA,N1,1
NATURAL_24,NATURAL_24_SABBIA_N2,SABBIA N2,SABBIA,N2,1
NATURAL_24,NATURAL_24_SABBIA_N3,SABBIA N3,SABBIA,N3,1
NATURAL_24,NATURAL_24_SETA_N1,SETA N1,SETA,N1,1
NATURAL_24,NATURAL_24_SETA_N2,SETA N2,SETA,N2,1
NATURAL_24,NATURAL_24_SETA_N3,SETA N3,SETA,N3,1
