ncs_id,ncs_code,ncs_label,is_active
NCS_0300_N,0300-N,NCS 0300-N,1
NCS_0500_N,0500-N,NCS 0500-N,1
NCS_0502_B,0502-B,NCS 0502-B,1
NCS_0502_B50G,0502-B50G,NCS 0502-B50G,1
NCS_0502_G,0502-G,NCS 0502-G,1
NCS_0502_G50Y,0502-G50Y,NCS 0502-G50Y,1
NCS_0502_R,0502-R,NCS 0502-R,1
NCS_0502_R50B,0502-R50B,NCS 0502-R50B,1
NCS_0502_Y,0502-Y,NCS 0502-Y,1
NCS_0502_Y50R,0502-Y50R,NCS 0502-Y50R,1
NCS_0505_B,0505-B,NCS 0505-B,1
NCS_0505_B20G,0505-B20G,NCS 0505-B20G,1
NCS_0505_B50G,0505-B50G,NCS 0505-B50G,1
NCS_0505_B80G,0505-B80G,NCS 0505-B80G,1
NCS_0505_G,0505-G,NCS 0505-G,1
NCS_0505_G10Y,0505-G10Y,NCS 0505-G10Y,1
NCS_0505_G20Y,0505-G20Y,NCS 0505-G20Y,1
NCS_0505_G30Y,0505-G30Y,NCS 0505-G30Y,1
NCS_0505_G40Y,0505-G40Y,NCS 0505-G40Y,1
NCS_0505_G50Y,0505-G50Y,NCS 0505-G50Y,1
NCS_0505_G60Y,0505-G60Y,NCS 0505-G60Y,1
NCS_0505_G70Y,0505-G70Y,NCS 0505-G70Y,1
NCS_0505_G80Y,0505-G80Y,NCS 0505-G80Y,1
NCS_0505_G90Y,0505-G90Y,NCS 0505-G90Y,1
NCS_0505_R,0505-R,NCS 0505-R,1
NCS_0505_R10B,0505-R10B,NCS 0505-R10B,1
NCS_0505_R20B,0505-R20B,NCS 0505-R20B,1
NCS_0505_R30B,0505-R30B,NCS 0505-R30B,1
NCS_0505_R40B,0505-R40B,NCS 0505-R40B,1
NCS_0505_R50B,0505-R50B,NCS 0505-R50B,1
NCS_0505_R60B,0505-R60B,NCS 0505-R60B,1
NCS_0505_R70B,0505-R70B,NCS 0505-R70B,1
NCS_0505_R80B,0505-R80B,NCS 0505-R80B,1
NCS_0505_R90B,0505-R90B,NCS 0505-R90B,1
NCS_0505_Y,0505-Y,NCS 0505-Y,1
NCS_0505_Y10R,0505-Y10R,NCS 0505-Y10R,1
NCS_0505_Y20R,0505-Y20R,NCS 0505-Y20R,1
NCS_0505_Y30R,0505-Y30R,NCS 0505-Y30R,1
NCS_0505_Y40R,0505-Y40R,NCS 0505-Y40R,1
NCS_0505_Y50R,0505-Y50R,NCS 0505-Y50R,1
NCS_0505_Y60R,0505-Y60R,NCS 0505-Y60R,1
NCS_0505_Y70R,0505-Y70R,NCS 0505-Y70R,1
NCS_0505_Y80R,0505-Y80R,NCS 0505-Y80R,1
NCS_0505_Y90R,0505-Y90R,NCS 0505-Y90R,1
NCS_0507_B,0507-B,NCS 0507-B,1
NCS_0507_B20G,0507-B20G,NCS 0507-B20G,1
NCS_0507_B80G,0507-B80G,NCS 0507-B80G,1
NCS_0507_G,0507-G,NCS 0507-G,1
NCS_0507_G40Y,0507-G40Y,NCS 0507-G40Y,1
NCS_0507_G80Y,0507-G80Y,NCS 0507-G80Y,1
NCS_0507_R,0507-R,NCS 0507-R,1
NCS_0507_R20B,0507-R20B,NCS 0507-R20B,1
NCS_0507_R40B,0507-R40B,NCS 0507-R40B,1
NCS_0507_R60B,0507-R60B,NCS 0507-R60B,1
NCS_0507_R80B,0507-R80B,NCS 0507-R80B,1
NCS_0507_Y,0507-Y,NCS 0507-Y,1
NCS_0507_Y20R,0507-Y20R,NCS 0507-Y20R,1
NCS_0507_Y40R,0507-Y40R,NCS 0507-Y40R,1
NCS_0507_Y60R,0507-Y60R,NCS 0507-Y60R,1
NCS_0507_Y80R,0507-Y80R,NCS 0507-Y80R,1
NCS_0510_B,0510-B,NCS 0510-B,1
NCS_0510_B10G,0510-B10G,NCS 0510-B10G,1
NCS_0510_B30G,0510-B30G,NCS 0510-B30G,1
NCS_0510_B50G,0510-B50G,NCS 0510-B50G,1
NCS_0510_B70G,0510-B70G,NCS 0510-B70G,1
NCS_0510_B90G,0510-B90G,NCS 0510-B90G,1
NCS_0510_G,0510-G,NCS 0510-G,1
NCS_0510_G10Y,0510-G10Y,NCS 0510-G10Y,1
NCS_0510_G20Y,0510-G20Y,NCS 0510-G20Y,1
NCS_0510_G30Y,0510-G30Y,NCS 0510-G30Y,1
NCS_0510_G40Y,0510-G40Y,NCS 0510-G40Y,1
NCS_0510_G50Y,0510-G50Y,NCS 0510-G50Y,1
NCS_0510_G60Y,0510-G60Y,NCS 0510-G60Y,1
NCS_0510_G70Y,0510-G70Y,NCS 0510-G70Y,1
NCS_0510_G80Y,0510-G80Y,NCS 0510-G80Y,1
NCS_0510_G90Y,0510-G90Y,NCS 0510-G90Y,1
NCS_0510_R,0510-R,NCS 0510-R,1
NCS_0510_R10B,0510-R10B,NCS 0510-R10B,1
NCS_0510_R20B,0510-R20B,NCS 0510-R20B,1
NCS_0510_R30B,0510-R30B,NCS 0510-R30B,1
NCS_0510_R40B,0510-R40B,NCS 0510-R40B,1
NCS_0510_R50B,0510-R50B,NCS 0510-R50B,1
NCS_0510_R60B,0510-R60B,NCS 0510-R60B,1
NCS_0510_R70B,0510-R70B,NCS 0510-R70B,1
NCS_0510_R80B,0510-R80B,NCS 0510-R80B,1
NCS_0510_R90B,0510-R90B,NCS 0510-R90B,1
NCS_0510_Y,0510-Y,NCS 0510-Y,1
NCS_0510_Y10R,0510-Y10R,NCS 0510-Y10R,1
NCS_0510_Y20R,0510-Y20R,NCS 0510-Y20R,1
NCS_0510_Y30R,0510-Y30R,NCS 0510-Y30R,1
NCS_0510_Y40R,0510-Y40R,NCS 0510-Y40R,1
NCS_0510_Y50R,0510-Y50R,NCS 0510-Y50R,1
NCS_0510_Y60R,0510-Y60R,NCS 0510-Y60R,1
NCS_0510_Y70R,0510-Y70R,NCS 0510-Y70R,1
NCS_0510_Y80R,0510-Y80R,NCS 0510-Y80R,1
NCS_0510_Y90R,0510-Y90R,NCS 0510-Y90R,1
NCS_0515_B,0515-B,NCS 0515-B,1
NCS_0515_B50G,0515-B50G,NCS 0515-B50G,1
NCS_0515_B80G,0515-B80G,NCS 0515-B80G,1
NCS_0515_G,0515-G,NCS 0515-G,1
NCS_0515_G20Y,0515-G20Y,NCS 0515-G20Y,1
NCS_0515_G40Y,0515-G40Y,NCS 0515-G40Y,1
NCS_0515_G60Y,0515-G60Y,NCS 0515-G60Y,1
NCS_0515_G80Y,0515-G80Y,NCS 0515-G80Y,1
NCS_0515_G90Y,0515-G90Y,NCS 0515-G90Y,1
NCS_0515_R,0515-R,NCS 0515-R,1
NCS_0515_R10B,0515-R10B,NCS 0515-R10B,1
NCS_0515_R20B,0515-R20B,NCS 0515-R20B,1
NCS_0515_R40B,0515-R40B,NCS 0515-R40B,1
NCS_0515_R60B,0515-R60B,NCS 0515-R60B,1
NCS_0515_R80B,0515-R80B,NCS 0515-R80B,1
NCS_0515_R90B,0515-R90B,NCS 0515-R90B,1
NCS_0515_Y,0515-Y,NCS 0515-Y,1
NCS_0515_Y10R,0515-Y10R,NCS 0515-Y10R,1
NCS_0515_Y20R,0515-Y20R,NCS 0515-Y20R,1
NCS_0515_Y30R,0515-Y30R,NCS 0515-Y30R,1
NCS_0515_Y40R,0515-Y40R,NCS 0515-Y40R,1
NCS_0515_Y50R,0515-Y50R,NCS 0515-Y50R,1
NCS_0515_Y60R,0515-Y60R,NCS 0515-Y60R,1
NCS_0515_Y70R,0515-Y70R,NCS 0515-Y70R,1
NCS_0515_Y80R,0515-Y80R,NCS 0515-Y80R,1
NCS_0515_Y90R,0515-Y90R,NCS 0515-Y90R,1
NCS_0520_B,0520-B,NCS 0520-B,1
NCS_0520_B10G,0520-B10G,NCS 0520-B10G,1
NCS_0520_B30G,0520-B30G,NCS 0520-B30G,1
NCS_0520_B40G,0520-B40G,NCS 0520-B40G,1
NCS_0520_B50G,0520-B50G,NCS 0520-B50G,1
NCS_0520_B60G,0520-B60G,NCS 0520-B60G,1
NCS_0520_B70G,0520-B70G,NCS 0520-B70G,1
NCS_0520_B90G,0520-B90G,NCS 0520-B90G,1
NCS_0520_G,0520-G,NCS 0520-G,1
NCS_0520_G10Y,0520-G10Y,NCS 0520-G10Y,1
NCS_0520_G20Y,0520-G20Y,NCS 0520-G20Y,1
NCS_0520_G30Y,0520-G30Y,NCS 0520-G30Y,1
NCS_0520_G40Y,0520-G40Y,NCS 0520-G40Y,1
NCS_0520_G50Y,0520-G50Y,NCS 0520-G50Y,1
NCS_0520_G60Y,0520-G60Y,NCS 0520-G60Y,1
NCS_0520_G70Y,0520-G70Y,NCS 0520-G70Y,1
NCS_0520_G80Y,0520-G80Y,NCS 0520-G80Y,1
NCS_0520_G90Y,0520-G90Y,NCS 0520-G90Y,1
NCS_0520_R,0520-R,NCS 0520-R,1
NCS_0520_R10B,0520-R10B,NCS 0520-R10B,1
NCS_0520_R20B,0520-R20B,NCS 0520-R20B,1
NCS_0520_R30B,0520-R30B,NCS 0520-R30B,1
NCS_0520_R40B,0520-R40B,NCS 0520-R40B,1
NCS_0520_R50B,0520-R50B,NCS 0520-R50B,1
NCS_0520_R60B,0520-R60B,NCS 0520-R60B,1
NCS_0520_R70B,0520-R70B,NCS 0520-R70B,1
NCS_0520_R80B,0520-R80B,NCS 0520-R80B,1
NCS_0520_R90B,0520-R90B,NCS 0520-R90B,1
NCS_0520_Y,0520-Y,NCS 0520-Y,1
NCS_0520_Y10R,0520-Y10R,NCS 0520-Y10R,1
NCS_0520_Y20R,0520-Y20R,NCS 0520-Y20R,1
NCS_0520_Y30R,0520-Y30R,NCS 0520-Y30R,1
NCS_0520_Y40R,0520-Y40R,NCS 0520-Y40R,1
NCS_0520_Y50R,0520-Y50R,NCS 0520-Y50R,1
NCS_0520_Y60R,0520-Y60R,NCS 0520-Y60R,1
NCS_0520_Y70R,0520-Y70R,NCS 0520-Y70R,1
NCS_0520_Y80R,0520-Y80R,NCS 0520-Y80R,1
NCS_0520_Y90R,0520-Y90R,NCS 0520-Y90R,1
NCS_0525_R60B,0525-R60B,NCS 0525-R60B,1
NCS_0525_R70B,0525-R70B,NCS 0525-R70B,1
NCS_0530_B,0530-B,NCS 0530-B,1
NCS_0530_B10G,0530-B10G,NCS 0530-B10G,1
NCS_0530_B30G,0530-B30G,NCS 0530-B30G,1
NCS_0530_B40G,0530-B40G,NCS 0530-B40G,1
NCS_0530_B50G,0530-B50G,NCS 0530-B50G,1
NCS_0530_B60G,0530-B60G,NCS 0530-B60G,1
NCS_0530_B70G,0530-B70G,NCS 0530-B70G,1
NCS_0530_B90G,0530-B90G,NCS 0530-B90G,1
NCS_0530_G,0530-G,NCS 0530-G,1
NCS_0530_G10Y,0530-G10Y,NCS 0530-G10Y,1
NCS_0530_G20Y,0530-G20Y,NCS 0530-G20Y,1
NCS_0530_G30Y,0530-G30Y,NCS 0530-G30Y,1
NCS_0530_G40Y,0530-G40Y,NCS 0530-G40Y,1
NCS_0530_G50Y,0530-G50Y,NCS 0530-G50Y,1
NCS_0530_G60Y,0530-G60Y,NCS 0530-G60Y,1
NCS_0530_G70Y,0530-G70Y,NCS 0530-G70Y,1
NCS_0530_G80Y,0530-G80Y,NCS 0530-G80Y,1
NCS_0530_G90Y,0530-G90Y,NCS 0530-G90Y,1
NCS_0530_R,0530-R,NCS 0530-R,1
NCS_0530_R10B,0530-R10B,NCS 0530-R10B,1
NCS_0530_R20B,0530-R20B,NCS 0530-R20B,1
NCS_0530_R30B,0530-R30B,NCS 0530-R30B,1
NCS_0530_R40B,0530-R40B,NCS 0530-R40B,1
NCS_0530_R50B,0530-R50B,NCS 0530-R50B,1
NCS_0530_R80B,0530-R80B,NCS 0530-R80B,1
NCS_0530_R90B,0530-R90B,NCS 0530-R90B,1
NCS_0530_Y,0530-Y,NCS 0530-Y,1
NCS_0530_Y10R,0530-Y10R,NCS 0530-Y10R,1
NCS_0530_Y20R,0530-Y20R,NCS 0530-Y20R,1
NCS_0530_Y30R,0530-Y30R,NCS 0530-Y30R,1
NCS_0530_Y40R,0530-Y40R,NCS 0530-Y40R,1
NCS_0530_Y50R,0530-Y50R,NCS 0530-Y50R,1
NCS_0530_Y60R,0530-Y60R,NCS 0530-Y60R,1
