ral_id,ral_code,ral_label,is_active
RAL_1000,1000,RAL 1000,1
RAL_1001,1001,RAL 1001,1
RAL_1002,1002,RAL 1002,1
RAL_1003,1003,RAL 1003,1
RAL_1004,1004,RAL 1004,1
RAL_1005,1005,RAL 1005,1
RAL_1006,1006,RAL 1006,1
RAL_1007,1007,RAL 1007,1
RAL_1011,1011,RAL 1011,1
RAL_1012,1012,RAL 1012,1
RAL_1013,1013,RAL 1013,1
RAL_1014,1014,RAL 1014,1
RAL_1015,1015,RAL 1015,1
RAL_1016,1016,RAL 1016,1
RAL_1017,1017,RAL 1017,1
RAL_1018,1018,RAL 1018,1
RAL_1019,1019,RAL 1019,1
RAL_1020,1020,RAL 1020,1
RAL_1021,1021,RAL 1021,1
RAL_1023,1023,RAL 1023,1
RAL_1024,1024,RAL 1024,1
RAL_1026,1026,RAL 1026,1
RAL_1027,1027,RAL 1027,1
RAL_1032,1032,RAL 1032,1
RAL_1033,1033,RAL 1033,1
RAL_1034,1034,RAL 1034,1
RAL_2000,2000,RAL 2000,1
RAL_2001,2001,RAL 2001,1
RAL_2002,2002,RAL 2002,1
RAL_2003,2003,RAL 2003,1
RAL_2004,2004,RAL 2004,1
RAL_2005,2005,RAL 2005,1
RAL_2007,2007,RAL 2007,1
RAL_2008,2008,RAL 2008,1
RAL_2009,2009,RAL 2009,1
RAL_2010,2010,RAL 2010,1
RAL_2011,2011,RAL 2011,1
RAL_2012,2012,RAL 2012,1
RAL_3000,3000,RAL 3000,1
RAL_3001,3001,RAL 3001,1
RAL_3002,3002,RAL 3002,1
RAL_3003,3003,RAL 3003,1
RAL_3004,3004,RAL 3004,1
RAL_3005,3005,RAL 3005,1
RAL_3007,3007,RAL 3007,1
RAL_3009,3009,RAL 3009,1
RAL_3011,3011,RAL 3011,1
RAL_3012,3012,RAL 3012,1
RAL_3013,3013,RAL 3013,1
RAL_3014,3014,RAL 3014,1
RAL_3015,3015,RAL 3015,1
RAL_3016,3016,RAL 3016,1
RAL_3017,3017,RAL 3017,1
RAL_3018,3018,RAL 3018,1
RAL_3020,3020,RAL 3020,1
RAL_3022,3022,RAL 3022,1
RAL_3027,3027,RAL 3027,1
RAL_3031,3031,RAL 3031,1
RAL_4001,4001,RAL 4001,1
RAL_4002,4002,RAL 4002,1
RAL_4003,4003,RAL 4003,1
RAL_4004,4004,RAL 4004,1
RAL_4005,4005,RAL 4005,1
RAL_4006,4006,RAL 4006,1
RAL_4007,4007,RAL 4007,1
RAL_4008,4008,RAL 4008,1
RAL_4009,4009,RAL 4009,1
RAL_5000,5000,RAL 5000,1
RAL_5001,5001,RAL 5001,1
RAL_5002,5002,RAL 5002,1
RAL_5003,5003,RAL 5003,1
RAL_5004,5004,RAL 5004,1
RAL_5005,5005,RAL 5005,1
RAL_5007,5007,RAL 5007,1
RAL_5008,5008,RAL 5008,1
RAL_5009,5009,RAL 5009,1
RAL_5010,5010,RAL 5010,1
RAL_5011,5011,RAL 5011,1
RAL_5012,5012,RAL 5012,1
RAL_5013,5013,RAL 5013,1
RAL_5014,5014,RAL 5014,1
RAL_5015,5015,RAL 5015,1
