sku_id,line_id,pack_size_mq,component,mode,param,product_id,pack_driver,pack_size,pack_unit,notes
NAT_FONDO_10,NATURAL,10,FONDO,COLORABILE,color,,,,,
NAT_COL_FONDO_10,NATURAL,10,COLORE_FONDO,COLORABILE,palette=NATURAL_24,,,,,
NAT_FIN_10,NATURAL,10,FINITURA,COLORABILE,color,,,,,
NAT_COL_FIN_10,NATURAL,10,COLORE_FINITURA,COLORABILE,palette=NATURAL_24,,,,,
NAT_KIT2_CHROMO,NATURAL,2,KIT,COLORABILE,style=CHROMO,,,,,
NAT_COL_KIT2_CHROMO,NATURAL,2,COLORE_KIT,COLORABILE,palette=NATURAL_24;colors=1,,,,,
NAT_KIT2_ALIZEE_EVIDENCE,NATURAL,2,KIT,COLORABILE,style=ALIZEE_EVIDENCE_4,,,,,
NAT_COL_KIT2_ALIZEE_EVIDENCE,NATURAL,2,COLORE_KIT,COLORABILE,palette=NATURAL_24;colors=2,,,,,
NAT_FONDO_10_COLORATO,NATURAL,10,FONDO,CUSTOM_PRECOLORED,standard=RAL/NCS/PANTONE/ALTRO,,,,,
NAT_FIN_10_COLORATO,NATURAL,10,FINITURA,CUSTOM_PRECOLORED,standard=RAL/NCS/PANTONE/ALTRO,,,,,
NAT_KIT2_COLORATO_CHROMO,NATURAL,2,KIT,CUSTOM_PRECOLORED,style=CHROMO,,,,,
NAT_KIT2_COLORATO_ALIZEE_EVIDENCE,NATURAL,2,KIT,CUSTOM_PRECOLORED,style=ALIZEE_EVIDENCE_4,,,,,
NAT_FEE_PERSONALIZZAZIONE,NATURAL,,FEE,CUSTOM_PRECOLORED,100€/colore/ordine;qty=1;meta=colors_count,,,,,
SEN_FONDO_10,SENSE,10,FONDO,COLORABILE,palette=SENSE_24,,,,,
SEN_COL_FONDO_10,SENSE,10,COLORE_FONDO,COLORABILE,palette=SENSE_24,,,,,
SEN_FIN_10,SENSE,10,FINITURA,COLORABILE,palette=SENSE_24,,,,,
SEN_COL_FIN_10,SENSE,10,COLORE_FINITURA,COLORABILE,palette=SENSE_24,,,,,
SEN_KIT2,SENSE,2,KIT,COLORABILE,palette=SENSE_24,,,,,
SEN_COL_KIT2,SENSE,2,COLORE_KIT,COLORABILE,palette=SENSE_24,,,,,
DEK_FONDO_10,DEKORA,10,FONDO,COLORABILE,palette=DEKORA_24,,,,,
DEK_COL_FONDO_10,DEKORA,10,COLORE_FONDO,COLORABILE,palette=DEKORA_24,,,,,
DEK_FIN_10,DEKORA,10,FINITURA,COLORABILE,palette=DEKORA_24,,,,,
DEK_COL_FIN_10,DEKORA,10,COLORE_FINITURA,COLORABILE,palette=DEKORA_24,,,,,
DEK_KIT2,DEKORA,2,KIT,COLORABILE,palette=DEKORA_24,,,,,
DEK_COL_KIT2,DEKORA,2,COLORE_KIT,COLORABILE,palette=DEKORA_24,,,,,
LAM_KIT2,LAMINE,2,KIT,PATTERN,pattern_id,,,,,
LAM_FONDO_10,LAMINE,10,FONDO,PATTERN,pattern_id,,,,,
LAM_MAIN_10,LAMINE,10,LAMINE,PATTERN,pattern_id,,,,,
COR_KIT1_CHROMO,CORLITE,1,KIT,CUSTOM_FEE0,style=CHROMO;color1,,,,,
COR_KIT4_CHROMO,CORLITE,4,KIT,CUSTOM_FEE0,style=CHROMO;color1,,,,,
COR_KIT1_EVIDENCE,CORLITE,1,KIT,CUSTOM_FEE0,style=EVIDENCE;color1;color2!=color1,,,,,
COR_KIT4_EVIDENCE,CORLITE,4,KIT,CUSTOM_FEE0,style=EVIDENCE;color1;color2!=color1,,,,,
MAT_KIT2,MATERIAL,2,KIT,NEUTRO,,,,,,
MAT_MAIN_10,MATERIAL,10,MATERIAL,NEUTRO,,,,,,
MAT_NORDCOLOR_ART_1KG,MATERIAL,,COLORE_SUPERFICIALE,CUSTOM_FEE0,"pack=1kg;cons=0.25kg/mq;standards=NATURAL_24,RAL,NCS,PANTONE_C,ALTRO",,,,,
MAT_DEKOR_ART_W_1KG,MATERIAL,,COLORE_SUPERFICIALE,METALLIC_FEE0,pack=1kg;cons=0.25kg/mq;palette=TBD,,,,,
SKU_BB_CORNER_IN,,,,,,BB_CORNER_IN,PIECE,1,pz,DIN 18534
SKU_BB_CORNER_OUT,,,,,,BB_CORNER_OUT,PIECE,1,pz,DIN 18534
SKU_BB_PASS,,,,,,BB_PASS,PIECE,1,pz,DIN 18534
SKU_BB_DRAIN,,,,,,BB_DRAIN,PIECE,1,pz,DIN 18534
SKU_BB_TAPE_50M,,,,,,BB_TAPE_50M,LINEAR_M,50,ml,Rotolo 50 ml
SKU_MS_PROSEALER,,,,,,MS_PROSEALER,PIECE,1,cartuccia,1 cartuccia per doccia (DIN)
SKU_NORPHEN_0_5,,,,,,NORPHEN_FONDO_IGRO_0_5,WEIGHT_KG,0.5,kg,Solo DIN (Germania)
